@relation features-weka.filters.unsupervised.instance.RemovePercentage-P15.0-weka.filters.unsupervised.instance.RemovePercentage-P15.0

@attribute xMean numeric
@attribute xStdDev numeric
@attribute xIntqr numeric
@attribute yMean numeric
@attribute yStdDev numeric
@attribute yIntqr numeric
@attribute zMean numeric
@attribute zStdDev numeric
@attribute zIntqr numeric
@attribute CorrXY numeric
@attribute CorrXZ numeric
@attribute CorrYZ numeric
@attribute timeStamp numeric
@attribute class {sitting,walking,standing,lying,'on table',running}

@data
0.205809,0.064474,0.078454,0.035042,0.073389,0.078453,9.67851,0.096263,0.11768,0.090156,-0.04168,0.113976,1445358881302.000128,'on table'
0.208816,0.061025,0.078454,0.029028,0.080771,0.078453,9.665434,0.073369,0.11768,-0.082252,-0.114709,0.080067,1445358887521.999872,'on table'
0.203717,0.058314,0.078454,0.029943,0.071816,0.078453,9.671841,0.072017,0.11768,-0.087583,-0.098859,0.231839,1445358893622.000128,'on table'
0.203586,0.057755,0.078454,0.02942,0.067534,0.078453,9.649874,0.071988,0.07845,0.026718,-0.002709,-0.035727,1445358899839.000064,'on table'
0.211562,0.05835,0.078454,0.043672,0.06417,0.078453,9.665695,0.068748,0.07845,-0.051367,-0.066697,0.0422,1445358906030.000128,'on table'
0.212216,0.061232,0.078454,0.041319,0.068476,0.078453,9.659158,0.071907,0.07845,-0.10624,-0.082426,0.096321,1445358912180.999936,'on table'
0.199925,0.064651,0.078454,0.045111,0.060797,0.078453,9.672233,0.074944,0.11768,-0.041047,-0.004913,0.046536,1445358918380,'on table'
0.206855,0.063096,0.078454,0.015821,0.067912,0.11768,9.67171,0.07686,0.11768,-0.137002,-0.207907,-0.0392,1445358924622.000128,'on table'
0.207378,0.0616,0.078454,0.034519,0.065501,0.078453,9.667526,0.072321,0.07845,-0.180706,-0.043881,0.106813,1445358930740,'on table'
0.206463,0.063608,0.078454,0.047856,0.066738,0.078453,9.674195,0.068449,0.11768,-0.128963,-0.066479,0.012234,1445358936862.000128,'on table'
0.205547,0.055601,0.078454,0.040403,0.068385,0.078453,9.679425,0.074041,0.11768,-0.013752,0.061904,-0.06587,1445358943022.000128,'on table'
0.209862,0.062714,0.078454,0.038181,0.064635,0.078453,9.663865,0.077765,0.11768,-0.115786,-0.008233,0.097144,1445358949121.999872,'on table'
0.199402,0.056981,0.078454,0.042365,0.05846,0.078453,9.666349,0.073622,0.11768,-0.064886,-0.014209,0.04166,1445358955302.000128,'on table'
4.942029,5.270882,9.01231,-9.918575,13.869879,20.31939,0.442346,5.019995,4.62874,-0.302521,0.105398,-0.214472,1445326956585.999872,'running'
5.599467,5.598855,9.34571,-10.576146,14.448706,20.69203,-0.045501,6.468545,4.922938,-0.343703,0.05014,-0.180957,1445326962607.000064,running
4.891033,5.540979,9.159414,-10.022004,13.975761,20.682245,0.660052,5.10494,4.187435,-0.337446,0.012841,-0.239934,1445326968625.999872,running
4.768386,6.013416,8.894629,-10.593666,14.178741,18.730694,0.076099,5.439133,5.236755,-0.278679,0.120386,-0.18256,1445326974640.999936,running
